trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.1, 'e': 0.9102399514140731}",30,0,-188.66107381533732,"{0: 14, 1: 4, 2: 8, 3: 3, 4: 1}",0
95,False,"{'a': 0.1, 'e': 0.9093297114626591}",25,0,-180.539584258844,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
96,False,"{'a': 0.1, 'e': 0.9084203817511963}",20,0,-113.17798346998461,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
97,False,"{'a': 0.1, 'e': 0.9075119613694451}",25,0,-115.34215584670396,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
98,False,"{'a': 0.1, 'e': 0.9066044494080757}",30,0,-130.1427217044986,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
99,False,"{'a': 0.1, 'e': 0.9056978449586677}",20,0,-37.747029870211236,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
100,False,"{'a': 0.1, 'e': 0.9047921471137089}",20,0,-118.97314668468789,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
101,False,"{'a': 0.1, 'e': 0.9038873549665952}",30,0,-233.73280539180828,"{0: 14, 1: 2, 2: 10, 3: 1, 4: 3}",0
102,False,"{'a': 0.1, 'e': 0.9029834676116286}",35,0,-187.9931407245187,"{0: 22, 1: 3, 2: 7, 3: 0, 4: 3}",0
103,False,"{'a': 0.1, 'e': 0.902080484144017}",20,12,-45.27018058063145,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.1, 'e': 0.901178403659873}",20,0,-207.44898447824306,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
105,False,"{'a': 0.1, 'e': 0.9002772252562131}",20,0,-101.99827117040199,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
106,False,"{'a': 0.1, 'e': 0.8993769480309569}",25,11,-45.37632291013667,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
107,False,"{'a': 0.1, 'e': 0.8984775710829259}",20,0,-92.1434102035355,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
108,False,"{'a': 0.1, 'e': 0.8975790935118431}",25,0,-242.01895847163667,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
109,False,"{'a': 0.1, 'e': 0.8966815144183312}",30,13,-73.27089348066221,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
110,False,"{'a': 0.1, 'e': 0.8957848329039129}",20,0,-111.51656598890284,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
111,False,"{'a': 0.1, 'e': 0.894889048071009}",25,0,-26.92109211001422,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
112,False,"{'a': 0.1, 'e': 0.8939941590229379}",25,0,-106.5601093238997,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
113,False,"{'a': 0.1, 'e': 0.893100164863915}",20,0,-87.64232010275636,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
114,False,"{'a': 0.1, 'e': 0.8922070646990511}",30,0,-59.29813039921595,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",1
115,False,"{'a': 0.1, 'e': 0.891314857634352}",20,0,-26.72702619067323,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
116,False,"{'a': 0.1, 'e': 0.8904235427767176}",30,0,-189.33583325714486,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
117,False,"{'a': 0.1, 'e': 0.889533119233941}",25,0,-87.6908808861062,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
118,False,"{'a': 0.1, 'e': 0.8886435861147071}",25,0,-57.7967124654733,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
119,False,"{'a': 0.1, 'e': 0.8877549425285923}",20,0,-137.1559744368127,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
120,False,"{'a': 0.1, 'e': 0.8868671875860638}",30,0,-158.91030842868352,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
121,False,"{'a': 0.1, 'e': 0.8859803203984776}",20,9,-69.64684401933579,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
122,False,"{'a': 0.1, 'e': 0.8850943400780792}",20,0,-113.8686515035419,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
123,False,"{'a': 0.1, 'e': 0.8842092457380011}",30,0,-80.25437608101929,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
124,False,"{'a': 0.1, 'e': 0.8833250364922631}",20,0,-74.35799038725716,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
125,False,"{'a': 0.1, 'e': 0.8824417114557708}",30,0,-56.11225527810723,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
126,False,"{'a': 0.1, 'e': 0.8815592697443151}",30,0,-157.49929333686967,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
127,False,"{'a': 0.1, 'e': 0.8806777104745708}",30,0,-44.82815270495184,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
128,False,"{'a': 0.1, 'e': 0.8797970327640962}",20,0,-64.5918772088969,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
129,False,"{'a': 0.1, 'e': 0.8789172357313321}",25,0,-160.44937686625428,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
130,False,"{'a': 0.1, 'e': 0.8780383184956008}",20,0,-97.97936206715578,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
